date,avg_stay_monthly,hotel_occ,spend_per_capita,tourism_receipts,avg_stay_annual,visitor_arrivals,visitor_arrivals_china,year,month,quarter,period,china_share,china_share_pct,avg_stay_monthly_capped,visitor_arrivals_millions,visitor_arrivals_china_thousands,cluster_z_visitor_arrivals,cluster_z_china_share,cluster_z_hotel_occ,cluster_z_avg_stay_monthly_capped,hotel_occ_level_tertile,hotel_occ_level_business,dataset_split
2018-10-01,3.20025075,86.36776498,NA,NA,NA,1467380,247664,2018,10,4,pre_covid,0.16877972985865966,16.877972985865966,3.20025075,1.46738,247.664,0.6994462210950252,-0.04720452589305062,0.7493928244989533,-0.5460777106978614,high,high,train
2018-11-01,3.14124728,84.94951897,NA,NA,NA,1406985,220053,2018,11,4,pre_covid,0.15640038806383863,15.640038806383863,3.14124728,1.406985,220.053,0.6004451448571652,-0.15027064609049987,0.6371965545646292,-0.5520921350323127,high,medium,train
2018-12-01,3.22542619,80.74555579,1456.21248964,26941.73821809,3.33013476,1603217,238194,2018,12,4,pre_covid,0.14857252636417903,14.857252636417902,3.22542619,1.603217,238.194,0.9221138126658871,-0.21544271647986823,0.3046245011891796,-0.5435114924912624,medium,medium,train
2019-01-01,3.42031923,84.71312863,NA,NA,NA,1624593,320581,2019,1,1,pre_covid,0.19733003896976042,19.733003896976044,3.42031923,1.624593,320.581,0.9571539154171165,0.19049547781393833,0.6184959100999171,-0.523645382203322,high,medium,train
2019-02-01,3.46075053,88.48043393,NA,NA,NA,1499051,339550,2019,2,1,pre_covid,0.22650997197560324,22.650997197560326,3.46075053,1.499051,339.55,0.7513621592609209,0.43343751240513945,0.9165243194051609,-0.519524082310392,high,high,train
2019-03-01,3.13840803,84.31584077,NA,6600.12739729,NA,1564664,300209,2019,3,1,pre_covid,0.19186803045254444,19.186803045254443,3.13840803,1.564664,300.209,0.8589167186647575,0.14502068313702046,0.5870667957799054,-0.5523815494394922,high,medium,train
2019-04-01,3.22580519,85.42491032,NA,NA,NA,1596724,302098,2019,4,2,pre_covid,0.18919863420353172,18.919863420353174,3.22580519,1.596724,302.098,0.9114703158861466,0.12279621278832513,0.6748043714405194,-0.5434728597324983,high,high,train
2019-05-01,3.53097759,81.99167469,NA,NA,NA,1487791,283445,2019,5,2,pre_covid,0.1905139902042693,19.051399020426928,3.53097759,1.487791,283.445,0.732904470405249,0.13374741212682065,0.40320393768247353,-0.5123655992821742,medium,medium,train
2019-06-01,3.62905843,86.14354211,NA,13165.79436414,NA,1551847,266107,2019,6,2,pre_covid,0.17147760056242659,17.14776005624266,3.62905843,1.551847,266.107,0.837906754360748,-0.02474298707780064,0.7316547385317879,-0.5023678857436412,high,high,train
2019-07-01,3.43946386,93.90137844,NA,NA,NA,1802593,389503,2019,7,3,pre_covid,0.21607928134637158,21.60792813463716,3.43946386,1.802593,389.503,1.2489362081621962,0.3465951881561595,1.3453707601879912,-0.521693904967389,high,high,train
2019-08-01,3.56279607,92.44163528,NA,NA,NA,1736102,397070,2019,8,3,pre_covid,0.22871352028855446,22.871352028855448,3.56279607,1.736102,397.07,1.139942408010999,0.451783493883616,1.2298916850068504,-0.5091222334191622,high,high,train
2019-09-01,3.29870521,87.13118264,NA,20548.88298768,NA,1463543,248568,2019,9,3,pre_covid,0.16983990220991116,16.983990220991117,3.29870521,1.463543,248.568,0.6931565095373686,-0.038377897402203695,0.8097861647587224,-0.5360419128022588,high,high,train
2019-10-01,3.26773754,86.92346615,NA,NA,NA,1530479,258611,2019,10,4,pre_covid,0.16897389640759528,16.897389640759528,3.26773754,1.530479,258.611,0.8028797654204285,-0.04558796233073795,0.7933538848739009,-0.5391985527088482,high,high,train
2019-11-01,3.12624712,88.82490473,NA,NA,NA,1533668,248636,2019,11,4,pre_covid,0.1621185289123852,16.21185289123852,3.12624712,1.533668,248.636,0.8081072582943839,-0.10266338216885885,0.9437751197520571,-0.5536211523481529,high,high,train
2019-12-01,3.12875261,82.98612626,1448.79934364,27688.50119434,3.35528749,1724961,272742,2019,12,4,pre_covid,0.15811487911900618,15.811487911900619,3.12875261,1.724961,272.742,1.1216797870926118,-0.13599638627134888,0.48187417965574947,-0.5533657592327019,medium,medium,train
2020-01-01,3.49179666,82.95028855,NA,NA,NA,1688102,329047,2020,1,1,pre_covid,0.19492127845355317,19.492127845355316,3.49179666,1.688102,329.047,1.0612595425516518,0.17044097047380263,0.4790390880308563,-0.5163594447092046,medium,medium,train
